1761265360,608,446.4105377,,Metrics,Value,Rounded,Simulated,% Change
1761276745,1417816,466.3300537,,,,,,
1761276774,1423116,712.1578979,,,,,,
1761276775,1423328,558.4724731,,,,,,
1761276812,1426108,391.0916748,,,,,,
1761276837,1431228,574.6590576,,,,,,
1761276892,1437204,701.4639893,,,,,,
1761276901,1438824,293.9237823,,,,,,
1761276915,1441384,240.6184616,,,,,,
1761276961,1445796,295.2384567,,,,,,
1761276965,1446640,555.8988647,,,,,,
1761277011,1450688,463.1012589,,,,,,
1761277035,1455184,698.9832764,,,,,,
1761277040,1456248,651.3501587,,,,,,
1761277080,1459284,179.0353661,,,,,,
1761277092,1461552,555.8573502,,,,,,
1761277164,1470732,20.40960073,,,,,,
1761277178,1473168,17.08103371,,,,,,
1761277213,1475372,84.37503433,,,,,,
1761277237,1479864,503.9691467,,,,,,
1761277239,1480116,559.4251099,,,,,,
1761277346,1492196,0,,,,,,
1761277409,1500092,664.9020996,,,,,,
1761277410,1500440,98.95159149,,,,,,
1761277418,1502024,431.7154327,,,,,,
1761277499,1512644,504.2731628,,,,,,
1761277511,1514988,66.03587723,,,,,,
1761277541,1516256,182.1418304,,,,,,
1761277566,1520800,778.8613892,,,,,,
1761277579,1523128,484.7684128,,,,,,
1761277580,1523340,107.0258789,,,,,,
1761277635,1529228,0,,,,,,
1761277696,1536376,633.2064819,,,,,,
1761277746,1541420,33.78455544,,,,,,
1761277750,1542288,459.4069519,,,,,,
1761277764,1544844,638.1292114,,,,,,
1761277826,1552680,530.4893188,,,,,,
1761277832,1553808,643.9326782,,,,,,
1761277878,1558600,563.6441711,,,,,,
1761277882,1559384,373.4508835,,,,,,
1761277884,1559764,324.1570358,,,,,,
1761277885,1559912,23.44496012,,,,,,
1761277900,1562264,693.5714111,,,,,,
1761277938,1564880,415.647171,,,,,,
1761277945,1566572,590.4332275,,,,,,
1761277953,1567888,553.4790649,,,,,,
1761277971,1571076,175.3343811,,,,,,
1761277980,1572656,624.9747925,,,,,,
1761278007,1573240,525.1597763,,,,,,
1761278032,1578152,560.0994873,,,,,,
1761278044,1580292,127.0681686,,,,,,
1761278090,1584700,413.4332123,,,,,,
1761278145,1590968,411.6665039,,,,,,
1761278211,1598876,0,,,,,,
1761278274,1606152,721.5906372,,,,,,
1761278300,1611512,46.2493515,,,,,,
1761278302,1611740,280.3625107,,,,,,
1761278338,1613992,120.7373772,,,,,,
1761278339,1614212,490.7708527,,,,,,
1761278340,1614444,406.1225281,,,,,,
1761278357,1618000,143.4553986,,,,,,
1761278360,1618524,632.5848389,,,,,,
1761278419,1625732,759.3341064,,,,,,
1761278434,1628428,711.6987915,,,,,,
1761278482,1633048,450.7947006,,,,,,
1761278496,1635728,43.39525795,,,,,,
1761278509,1638040,566.1886597,,,,,,
1761278539,1639288,43.52431297,,,,,,
1761278554,1642228,552.5705078,,,,,,
1761278556,1642600,410.244278,,,,,,
1761278606,1647976,355.258667,,,,,,
1761278613,1649332,509.7044373,,,,,,
1761278691,1659376,461.2093048,,,,,,
1761278693,1659780,520.2171066,,,,,,
1761278755,1667056,622.0609131,,,,,,
1761278824,1675616,528.7081299,,,,,,
1761278825,1675788,0,,,,,,
1761278832,1677088,0,,,,,,
1761278887,1683560,609.6071777,,,,,,
1761278944,1689840,19.32072973,,,,,,
1761279003,1696516,138.0674629,,,,,,
1761279028,1701336,0,,,,,,
1761279033,1702160,330.9971008,,,,,,
1761279073,1705484,501.4140732,,,,,,
1761279103,1711076,45.9231205,,,,,,
1761279104,1711184,397.3541992,,,,,,
1761279152,1715624,446.5850296,,,,,,
1761279157,1716564,538.5270386,,,,,,
1761279165,1717968,656.7402954,,,,,,
1761279211,1722592,604.1029663,,,,,,
1761279213,1722952,581.3496704,,,,,,
1761279227,1725424,439.8988953,,,,,,
1761279337,1738264,393.2319504,,,,,,
1761279361,1743384,114.5947266,,,,,,
1761279362,1743488,554.6209106,,,,,,
1761279464,1753440,243.0121994,,,,,,
1761279472,1755152,230.5643463,,,,,,
1761279478,1756220,725.0313721,,,,,,
1761279486,1757468,491.2586761,,,,,,
1761279495,1759152,724.5048218,,,,,,
1761279537,1762732,256.9730301,,,,,,
1761279553,1765624,375.9246826,,,,,,
1761279558,1766504,414.699202,,,,,,
1761279615,1772760,16.41374016,,,,,,
1761279706,1785496,0,,,,,,
1761279741,1787848,479.9482605,,,,,,
1761279754,1790172,27.28520393,,,,,,
1761279805,1796316,502.3876953,,,,,,
1761279824,1800036,608.6688843,,,,,,
1761279832,1801476,656.5263672,,,,,,
1761279883,1806696,367.0009918,,,,,,
1761279929,1810644,651.5918579,,,,,,
1761279935,1812116,285.5310059,,,,,,
1761279944,1813612,504.2613831,,,,,,
1761279955,1815604,584.2801514,,,,,,
1761280026,1825552,4.596870303,,,,,,
1761280027,1825696,670.3056641,,,,,,
1761280030,1826236,399.1435547,,,,,,
1761280078,1831648,535.3404541,,,,,,
1761280090,1834104,347.1405487,,,,,,
1761280120,1835428,602.541626,,,,,,
1761280122,1835804,734.2387085,,,,,,
1761280151,1841544,608.3414307,,,,,,
1761280156,1842364,652.5717163,,,,,,
1761280159,1843060,550.4942749,,,,,,
1761280199,1846472,530.9421387,,,,,,
1761280206,1847792,200.1604843,,,,,,
1761280208,1848120,549.3839111,,,,,,
1761280211,1848616,536.8451538,,,,,,
1761280263,1854384,572.0317383,,,,,,
1761280277,1857208,115.3496017,,,,,,
1761280341,1865696,0,,,,,,
1761280400,1872564,593.1329346,,,,,,
1761280406,1873512,533.165416,,,,,,
1761280444,1876396,489.2323837,,,,,,
1761280506,1884200,579.9521484,,,,,,
1761280570,1892376,17.36689854,,,,,,
1761280572,1892936,632.0230103,,,,,,
1761280573,1893184,441.7137085,,,,,,
1761280586,1895540,626.3483276,,,,,,
1761280588,1895924,102.2074699,,,,,,
1761280601,1898256,346.4316101,,,,,,
1761280667,1906848,544.2438354,,,,,,
1761280668,1907128,649.013916,,,,,,
1761280719,1912760,462.813829,,,,,,
1761280729,1914560,610.3492432,,,,,,
1761280742,1916764,540.0925095,,,,,,
1761280800,1923384,698.5638428,,,,,,
1761280803,1923860,564.4801025,,,,,,
1761280808,1925016,4.665456891,,,,,,
1761280846,1928080,394.8516998,,,,,,
1761280854,1929608,727.2712402,,,,,,
1761280901,1934500,183.6798706,,,,,,
1761280907,1935684,548.3184067,,,,,,
1761280908,1935988,526.5355087,,,,,,
