StepV,ValueV,StepF,ValueF,StepL,ValueL
7765632,0,9161680,456.0788879,10706176,498.0970764
7786768,406.0927277,9166352,497.9436951,10726720,361.8535156
7794800,261.5373138,9207040,545.0153198,10751728,477.8479309
7811952,351.698703,9218928,622.8365479,10762512,588.1387329
7815744,1.89678719,9237376,353.4083557,10794480,646.2324219
7861808,59.08946457,9250560,532.387146,10814272,365.9892273
7903264,248.3166412,9264640,508.9324951,10864528,293.8887939
7914208,163.5867142,9285408,207.7917786,10927728,465.2873535
8007680,547.2129639,9286560,11.62686825,10946960,489.6515503
8038112,587.9931152,9301984,393.3588562,10990976,477.0370178
8243248,260.9784668,9347872,281.703064,10996992,120.6300507
8249088,111.8479202,9355440,383.3582153,11051440,119.6726685
8299296,275.4990967,9389296,106.9415359,11103472,294.219635
8322800,0,9390000,452.0319519,11127040,217.8503723
8371984,259.9442139,9398048,82.85031128,11136592,21.86383247
8379392,110.9699135,9406992,549.1014404,11186560,573.7282715
8443600,517.5336182,9427072,144.2943268,11299360,71.37310028
8463680,278.0918152,9445856,283.8182983,11367200,589.8779907
8495360,0,9464256,371.7749939,11372208,415.0116577
8682192,351.3205261,9470320,473.6782227,11433584,556.468689
8696320,487.2264587,9547584,0,11499376,443.4928284
8722816,442.7960999,9599216,288.4966125,11504752,135.0336456
8769456,48.20034828,9623024,449.5692444,11539040,87.16043854
8805200,579.9521667,9659248,0,11551072,609.611084
8829280,99.61498032,9697136,251.4872589,11569472,157.480484
8885056,154.9830597,9777616,384.5944824,11629568,439.1870728
8932848,497.1338196,9786992,465.6148071,11669408,636.1066284
9026368,330.9970825,9820160,124.2754669,11701200,318.8860779
9047200,104.7279556,9822992,901.1209106,11760704,409.7488098
9070144,491.2311401,9848112,440.4447632,11805568,598.046936
9072096,97.26004715,9884144,497.2319641,11827152,573.4821167
9082928,84.88431931,9930672,313.4709473,11838128,66.03835297
9135808,552.2438232,9948448,0,11862768,174.8261566
9138848,151.7359131,9983584,342.0770569,11901152,67.81451416
9142096,505.5624207,10047648,493.4865723,11920576,596.6861572
9164656,0,10114144,638.1292114,11942224,142.1998138
9167632,379.7034027,10193936,89.22341156,11994960,343.2190552
9174912,99.29913025,10226208,0,12083904,6.732255459
9246096,384.718277,10230656,7.755232334,12092352,18.38685799
9272432,538.2978333,10231936,247.7133484,12140880,127.7370224
