Wall time,Step,Value,,Metrics,Value,Rounded
1760603444,2354556,473.9539185,,,,
1760603515,2363800,703.0656128,,,,
1760603636,2378632,54.69923782,,,,
1760603659,2382900,651.6820068,,,,
1760603690,2384300,643.9326782,,,,
1760603717,2389548,466.353302,,,,
1760603823,2400472,170.8925781,,,,
1760603913,2413256,528.8972168,,,,
1760603976,2420892,233.444046,,,,
1760604057,2431060,3.768014431,,,,
1760604097,2434392,271.8525696,,,,
1760604098,2434604,283.6516418,,,,
1760604188,2447024,665.2392578,,,,
1760604199,2449164,599.019104,,,,
1760604385,2471212,9.032801628,,,,
1760604456,2479764,613.8754272,,,,
1760604464,2481344,705.9458618,,,,
1760604465,2481504,632.4981689,,,,
1760604658,2504436,714.3674927,,,,
1760604665,2505764,826.6862183,,,,
1760604710,2509792,21.11870575,,,,
1760604785,2519884,576.6663208,,,,
1760604786,2519964,539.5345459,,,,
1760604853,2528312,547.6546021,,,,
1760604914,2535120,686.9993896,,,,
1760604932,2538696,83.92628479,,,,
1760605176,2566900,520.97052,,,,
1760605227,2572388,580.4172363,,,,
1760605295,2581068,423.4071045,,,,
1760605300,2582108,512.1438599,,,,
1760605312,2584280,716.3583984,,,,
1760605433,2599000,637.4896851,,,,
1760605437,2599724,734.1716919,,,,
1760605501,2607564,669.6538086,,,,
1760605869,2654140,785.6755371,,,,
1760605906,2656768,478.6906738,,,,
1760605921,2659568,391.980957,,,,
1760605963,2662836,709.9365234,,,,
1760605969,2664200,133.0478516,,,,
1760606099,2680052,21.57761383,,,,
1760606105,2681212,768.218811,,,,
1760606124,2684484,653.8214111,,,,
1760606138,2686852,139.1885223,,,,
1760606197,2693404,82.90092468,,,,
1760606244,2697720,368.8328857,,,,
1760606313,2705944,0,,,,
1760606323,2708008,695.1600342,,,,
1760606367,2711720,757.0924072,,,,
1760606381,2714780,347.5599976,,,,
1760606400,2718176,672.6582642,,,,
1760606437,2720984,548.1953735,,,,
1760606640,2745120,480.6687317,,,,
1760606737,2758648,7.64513588,,,,
1760606839,2769484,463.4133301,,,,
1760606840,2769748,517.2132568,,,,
1760606848,2771072,0,,,,
1760606858,2772928,390.8100891,,,,
1760606921,2780812,719.0505371,,,,
1760606941,2784320,565.4533691,,,,
1760607001,2790728,609.7164307,,,,
1760607012,2792656,399.8786316,,,,
1760607178,2811008,406.3421021,,,,
1760607250,2819972,301.0018005,,,,
1760607253,2820524,646.7759399,,,,
1760607261,2821964,455.0932617,,,,
1760607318,2827960,608.6688843,,,,
1760607342,2832124,826.0113525,,,,
1760607344,2832472,551.2416992,,,,
1760607413,2840696,710.5917358,,,,
1760607563,2859004,595.2140503,,,,
1760607628,2866676,357.9657898,,,,
1760607668,2869896,375.7165222,,,,
1760607744,2879528,640.5180054,,,,
1760607821,2889400,551.6618042,,,,
1760607834,2891680,596.7845459,,,,
1760607864,2893168,775.6092529,,,,
1760607887,2897556,721.3831177,,,,
1760607943,2903648,518.6323853,,,,
1760607963,2907324,769.9790649,,,,
1760608075,2920248,615.9249878,,,,
1760608126,2925432,115.105011,,,,
1760608153,2930520,435.9907837,,,,
1760608158,2931488,426.7572632,,,,
1760608269,2943124,484.4198914,,,,
1760608476,2969136,516.3600464,,,,
1760608566,2981804,3.321962357,,,,
1760608615,2986540,450.5604553,,,,
1760608692,2996368,0,,,,
1760608731,2999464,635.1798706,,,,
1760608737,3000636,599.8569336,,,,
1760608748,3002400,0,,,,
1760608759,3004280,385.8103943,,,,
1760608886,3019528,171.1334229,,,,
1760609005,3033400,678.4160156,,,,
1760609071,3041524,569.8630371,,,,
1760609145,3050300,523.1953125,,,,
1760609235,3062860,762.3045654,,,,
1760609290,3068936,122.2601852,,,,
1760609346,3074936,688.6586914,,,,
1760609366,3078560,344.9858398,,,,
1760609420,3083844,630.4041138,,,,
1760609440,3087372,682.6134644,,,,
1760609475,3089764,56.82948303,,,,
1760609484,3091508,108.4802628,,,,
1760609491,3092796,537.8156128,,,,
1760609538,3096832,642.2046509,,,,
1760609547,3098780,212.1555176,,,,
1760609602,3105156,545.5004883,,,,
1760610007,3155072,118.4195557,,,,
1760610008,3155268,483.4805298,,,,
1760610029,3158960,449.4544678,,,,
1760610103,3168508,498.7228394,,,,
1760610146,3172688,389.9678345,,,,
1760610232,3184576,287.7218628,,,,
1760610238,3185844,567.1115723,,,,
1760610286,3190280,444.4265137,,,,
1760610346,3197372,706.5713501,,,,
1760610366,3201228,621.3773193,,,,
1760610375,3202992,484.5725098,,,,
1760610424,3207808,601.6461182,,,,
1760610440,3210544,427.490509,,,,
1760610482,3214324,532.9752197,,,,
1760610506,3218836,672.9633789,,,,
1760610620,3231572,2.556877136,,,,
1760610734,3244452,615.3375244,,,,
1760610736,3244620,656.5496216,,,,
1760610826,3256852,669.1755981,,,,
1760610841,3259328,358.0707397,,,,
1760611074,3285236,715.197937,,,,
1760611210,3303024,664.2458496,,,,
1760611219,3304744,210.8916931,,,,
1760611290,3313728,321.7373352,,,,
1760611355,3321520,17.90826225,,,,
1760611363,3322988,647.5083008,,,,
1760611476,3335484,148.3156433,,,,
1760611508,3341600,554.0004883,,,,
1760611511,3342200,242.6259918,,,,
1760611544,3344176,633.9790649,,,,
1760611580,3350184,0,,,,
1760611626,3354464,606.3843384,,,,
1760611639,3356740,622.4032593,,,,
1760611645,3357936,151.7995605,,,,
1760611809,3375660,691.706604,,,,
1760611850,3382892,868.8839111,,,,
1760611881,3384444,593.8668213,,,,
1760611919,3391384,508.2727051,,,,
1760612083,3409120,786.3155518,,,,
1760612101,3412320,549.4458618,,,,
1760612285,3433880,359.0180054,,,,
1760612372,3446048,7.990391254,,,,
1760612373,3446148,60.72888184,,,,
1760612429,3452244,642.8927002,,,,
1760612452,3456384,437.4880981,,,,
1760612567,3468908,583.6937866,,,,
1760612711,3488076,679.4499512,,,,
1760612749,3490592,648.2904663,,,,
1760612970,3519496,446.9005737,,,,
1760613018,3524168,875.5407104,,,,
1760613020,3524452,775.7559814,,,,
1760613089,3533496,523.972229,,,,
1760613358,3567240,1.143022776,,,,
1760613448,3579896,485.1074524,,,,
1760613567,3593260,0,,,,
1760613616,3597888,178.0346069,,,,
1760613641,3602268,661.5907593,,,,
1760613712,3610732,577.1639404,,,,
1760613771,3617172,0,,,,
1760613790,3620444,310.6886597,,,,
1760613828,3623232,639.2081299,,,,
1760613909,3634256,588.3656616,,,,
1760613917,3635896,670.0251465,,,,
1760613952,3637924,178.7994843,,,,
1760614054,3653544,0,,,,
1760614154,3664140,434.3216553,,,,
1760614216,3671280,663.0723267,,,,
1760614286,3680004,594.4509888,,,,
1760614295,3681536,5.907369137,,,,
1760614351,3687872,269.2635193,,,,
1760614414,3694920,764.2129517,,,,
1760614552,3711980,441.0333862,,,,
1760614569,3715172,510.8236084,,,,
1760614586,3718244,622.7078857,,,,
1760614727,3735180,486.1363831,,,,
1760614786,3742016,459.7182007,,,,
1760614833,3746396,0,,,,
1760614916,3758236,510.9222412,,,,
1760614918,3758772,340.1223145,,,,
1760615052,3775148,592.7184448,,,,
1760615095,3779168,721.0116577,,,,
1760615254,3801084,167.5003815,,,,
1760615306,3806588,403.0140381,,,,
1760615307,3806776,671.5598145,,,,
1760615378,3815192,673.2839966,,,,
1760615384,3816224,785.5514526,,,,
1760615415,3817592,460.1273499,,,,
